date,store_id,sku_id,units_sold,total_revenue,avg_unit_price,transaction_count,unique_customers,promotion_flag
2022-01-01,STORE_001,SKU_00001,26,3717.74,142.99,15,13,0
2022-01-02,STORE_001,SKU_00001,14,2001.86,142.99,8,7,0
2022-01-03,STORE_001,SKU_00001,7,1000.93,142.99,4,3,0
2022-01-04,STORE_001,SKU_00001,15,2144.85,142.99,9,8,0
2022-01-05,STORE_001,SKU_00001,13,1858.87,142.99,8,7,0
2022-01-06,STORE_001,SKU_00001,9,965.16,107.24,5,4,1
2022-01-07,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-08,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-09,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-10,STORE_001,SKU_00001,0,0.0,128.69,0,0,1
2022-01-11,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-12,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-13,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-14,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-15,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-16,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-17,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-18,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-19,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-20,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-21,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-22,STORE_001,SKU_00001,23,3288.77,142.99,13,11,0
2022-01-23,STORE_001,SKU_00001,28,4003.72,142.99,16,14,0
2022-01-24,STORE_001,SKU_00001,14,2001.86,142.99,8,7,0
2022-01-25,STORE_001,SKU_00001,18,2573.82,142.99,10,9,0
2022-01-26,STORE_001,SKU_00001,7,1000.93,142.99,4,3,0
2022-01-27,STORE_001,SKU_00001,8,1143.92,142.99,5,4,0
2022-01-28,STORE_001,SKU_00001,2,285.98,142.99,2,1,0
2022-01-29,STORE_001,SKU_00001,0,0.0,121.54,0,0,1
2022-01-30,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-01-31,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-01,STORE_001,SKU_00001,0,0.0,128.69,0,0,1
2022-02-02,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-03,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-04,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-05,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-06,STORE_001,SKU_00001,0,0.0,114.39,0,0,1
2022-02-07,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-08,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-09,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-10,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-11,STORE_001,SKU_00001,0,0.0,114.39,0,0,1
2022-02-12,STORE_001,SKU_00001,20,2859.8,142.99,12,10,0
2022-02-13,STORE_001,SKU_00001,19,2716.81,142.99,11,9,0
2022-02-14,STORE_001,SKU_00001,11,1572.89,142.99,7,6,0
2022-02-15,STORE_001,SKU_00001,12,1715.88,142.99,7,6,0
2022-02-16,STORE_001,SKU_00001,14,2001.86,142.99,8,7,0
2022-02-17,STORE_001,SKU_00001,15,2144.85,142.99,9,8,0
2022-02-18,STORE_001,SKU_00001,9,1286.91,142.99,5,4,0
2022-02-19,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-20,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-21,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-22,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-23,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-24,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-25,STORE_001,SKU_00001,0,0.0,128.69,0,0,1
2022-02-26,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-02-27,STORE_001,SKU_00001,0,0.0,107.24,0,0,1
2022-02-28,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-03-01,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-03-02,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-03-03,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-03-04,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-03-05,STORE_001,SKU_00001,0,0.0,142.99,0,0,0
2022-03-06,STORE_001,SKU_00001,27,3860.73,142.99,15,13,0
2022-03-07,STORE_001,SKU_00001,18,2573.82,142.99,10,9,0
